date,value
2021-11-16,2550
2021-11-17,2550
2021-11-18,2550
2021-11-19,2510
2021-11-20,2510
2021-11-21,2500
2021-11-22,2500
2021-11-23,2450
2021-11-24,2420
2021-11-25,2410
2021-11-26,2380
2021-11-27,2370
2021-11-28,2360
2021-11-29,2340
2021-11-30,2330
2021-12-01,2330
2021-12-02,2330
2021-12-03,2330
2021-12-04,2330
2021-12-05,2330
2021-12-06,2330
2021-12-07,2300
2021-12-08,2280
2021-12-09,2260
2021-12-10,2260
2021-12-11,2220
2021-12-12,2200
2021-12-13,2140
2021-12-14,2120
2021-12-15,2070
2021-12-16,2020
2021-12-17,1900
2021-12-18,1840
2021-12-19,1800
2021-12-20,1750
2021-12-21,1690
2021-12-22,1650
2021-12-23,1650
2021-12-24,1650
2021-12-25,1650
2021-12-26,1640
2021-12-27,1640
2021-12-28,1650
2021-12-29,1650
2021-12-30,1650
2021-12-31,1660
