date,value
2021-11-16,5140
2021-11-17,5200
2021-11-18,5250
2021-11-19,5260
2021-11-20,5220
2021-11-21,5200
2021-11-22,5300
2021-11-23,5310
2021-11-24,5270
2021-11-25,5290
2021-11-26,5340
2021-11-27,5360
2021-11-28,5400
2021-11-29,5380
2021-11-30,5490
2021-12-1,5530
2021-12-2,5580
2021-12-3,5580
2021-12-4,5550
2021-12-5,5670
2021-12-6,5670
2021-12-7,5820
2021-12-8,5880
2021-12-9,5900
2021-12-10,5850
2021-12-11,5850
2021-12-12,5870
2021-12-13,5880
2021-12-14,5900
2021-12-15,5900
2021-12-16,5280
2021-12-17,5210
2021-12-18,5090
2021-12-19,5140
2021-12-20,5200
2021-12-21,5250
2021-12-22,5260
2021-12-23,5220
2021-12-24,5200
2021-12-25,5300
2021-12-26,5310
2021-12-27,5270
2021-12-28,5290
2021-12-29,5340
2021-12-30,5360
2021-12-31,5400
