date,value
2021-9-12,635.0
2021-9-13,645.0
2021-9-14,665.0
2021-9-15,690.0
2021-9-16,700.0
2021-9-17,720.0
2021-9-18,730.0
2021-9-19,740.0
2021-9-20,740.0
2021-9-21,740.0
2021-9-22,735.0
2021-9-23,685.0
2021-9-24,670.0
2021-9-25,665.0
2021-9-26,660.0
2021-9-27,655.0
2021-9-28,625.0
2021-9-29,595.0
2021-9-30,590.0
2021-10-1,585.0
2021-10-2,585.0
2021-10-3,575.0
2021-10-4,575.0
2021-10-5,570.0
2021-10-6,570.0
2021-10-7,565.0
2021-10-8,530.0
2021-10-9,510.0
2021-10-10,480.0
2021-10-11,475.0
2021-10-12,475.0
2021-10-13,475.0
2021-10-14,475.0
2021-10-15,465.0
2021-10-16,465.0
2021-10-17,465.0
2021-10-18,470.0
2021-10-19,475.0
2021-10-20,475.0
2021-10-21,475.0
2021-10-22,475.0
2021-10-23,490.0
2021-10-24,490.0
2021-10-25,490.0
2021-10-26,490.0
2021-10-27,490.0
2021-10-28,490.0
2021-10-29,490.0
2021-10-30,495.0
2021-10-31,495.0
2021-11-1,500.0
2021-11-2,510.0
2021-11-3,525.0
2021-11-4,540.0
2021-11-5,565.0
2021-11-6,580.0
2021-11-7,585.0
2021-11-8,595.0
2021-11-9,595.0
2021-11-10,605.0
2021-11-11,605.0
2021-11-12,605.0
2021-11-13,605.0
2021-11-14,600.0
2021-11-15,600.0
2021-11-16,605.0
2021-11-17,610.0
2021-11-18,615.0
2021-11-19,645.0
2021-11-20,655.0
2021-11-21,660.0
2021-11-22,660.0
2021-11-23,660.0
2021-11-24,660.0
2021-11-25,660.0
2021-11-26,655.0
2021-11-27,655.0
2021-11-28,665.0
2021-11-29,675.0
2021-11-30,695.0
2021-12-1,705.0
2021-12-2,740.0
2021-12-3,775.0
2021-12-4,795.0
2021-12-5,820.0
2021-12-6,820.0
2021-12-7,810.0
2021-12-8,795.0
2021-12-9,795.0
2021-12-10,790.0
2021-12-11,790.0
2021-12-12,790.0
2021-12-13,760.0
2021-12-14,755.0
2021-12-15,740.0
2021-12-16,740.0
2021-12-17,745.0
2021-12-18,755.0
2021-12-19,765.0
2021-12-20,780.0
2021-12-21,780.0
2021-12-22,780.0
2021-12-23,785.0
2021-12-24,790.0
2021-12-25,790.0
2021-12-26,795.0
2021-12-27,795.0
2021-12-28,800.0
2021-12-29,800.0
2021-12-30,810.0
2021-12-31,830.0
