date,value
2021-11-16,70430
2021-11-17,69990
2021-11-18,69175
2021-11-19,67725
2021-11-20,67155
2021-11-21,68250
2021-11-22,68950
2021-11-23,69600
2021-11-24,69320
2021-11-25,69175
2021-11-26,70100
2021-11-27,70330
2021-11-28,69930
2021-11-29,69430
2021-11-30,69460
2021-12-1,69705
2021-12-2,69610
2021-12-3,69270
2021-12-4,68735
2021-12-5,69945
2021-12-6,71440
2021-12-7,70430
2021-12-8,69740
2021-12-9,70410
2021-12-10,69650
2021-12-11,69650
2021-12-12,68905
2021-12-13,69000
2021-12-14,69300
2021-12-15,69300
2021-12-16,70060
2021-12-17,69475
2021-12-18,68890
2021-12-19,68665
2021-12-20,71740
2021-12-21,71820
2021-12-22,71900
2021-12-23,71980
2021-12-24,71680
2021-12-25,70990
2021-12-26,70265
2021-12-27,69645
2021-12-28,69760
2021-12-29,69590
2021-12-30,69515
2021-12-31,69995
